Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
vtt_transport_departure_paid,dialogs,Tooltip,,,Paid {0} {1}. Transporting to {2}...,,{0} {1} bezahlt. Transport nach {2}...,Pagaste {0} {1}. Transportando a {2}...,{0} {1} payé(s). Transport vers {2}...,Pagati {0} {1}. Trasporto verso {2}...,{1}を{0}支払いました。{2}へ輸送中...,{1} {0}개를 지불했습니다. {2}(으)로 이동 중...,Zapłacono {0} {1}. Transport do {2}...,Pagou {0} {1}. Transportando para {2}...,Оплачено {0} {1}. Перевозка к {2}...,{0} {1} ödendi. {2} konumuna taşınıyorsunuz...,已支付 {0} {1}。正在传送至 {2}...,已支付 {0} {1}。正在傳送至 {2}...
vtt_transport_arrival,dialogs,Tooltip,,,Hope you enjoyed the ride to {0}.,,"Ich hoffe, die Fahrt nach {0} war angenehm.",Espero que hayas disfrutado del viaje a {0}.,J'espère que le trajet vers {0} vous a plu.,Spero che il viaggio verso {0} ti sia piaciuto.,{0}に到着しました。ご乗車ありがとうございました。,{0}까지 오시는 길이 편안하셨길 바랍니다.,"Mam nadzieję, że podróż do {0} minęła przyjemnie.",Espero que tenha gostado da viagem até {0}.,"Надеюсь, поездка к {0} прошла хорошо.",Umarım {0} yolculuğun keyifli geçmiştir.,希望你喜欢这趟前往 {0} 的旅程。,希望你喜歡這趟前往 {0} 的旅程。
vtt_not_enough_travel_cost,dialogs,Tooltip,,,Travel costs {0} {1}. You have {2}.,,Die Reise kostet {0} {1}. Du hast {2}.,El viaje cuesta {0} {1}. Tienes {2}.,Le voyage coûte {0} {1}. Vous en avez {2}.,Il viaggio costa {0} {1}. Ne hai {2}.,移動には{1}が{0}必要です。現在の所持数: {2},이동하려면 {1} {0}개가 필요합니다. 보유: {2},Podróż kosztuje {0} {1}. Masz {2}.,A viagem custa {0} {1}. Você tem {2}.,Поездка стоит {0} {1}. У вас есть {2}.,Yolculuk {0} {1} tutuyor. Sende {2} var.,旅行需要 {0} {1}。你拥有 {2}。,旅行需要 {0} {1}。你擁有 {2}。
vtt_travel_cost_unavailable,dialogs,Tooltip,,,Travel cost item is not available. Check the mod config.,,Der Gegenstand für die Reisekosten ist nicht verfügbar. Prüfe die Mod-Konfiguration.,El objeto del coste de viaje no está disponible. Revisa la configuración del mod.,L'objet servant au coût du voyage est introuvable. Vérifiez la configuration du mod.,L'oggetto per il costo del viaggio non è disponibile. Controlla la configurazione della mod.,移動コスト用アイテムが見つかりません。MOD設定を確認してください。,이동 비용 아이템을 찾을 수 없습니다. 모드 설정을 확인하세요.,Przedmiot kosztu podróży jest niedostępny. Sprawdź konfigurację moda.,O item do custo de viagem não está disponível. Verifique a configuração do mod.,Предмет для оплаты поездки недоступен. Проверьте настройки мода.,Yolculuk ücreti eşyası bulunamadı. Mod ayarlarını kontrol et.,找不到旅行费用所需的物品，请检查模组配置。,找不到旅行費用所需的物品，請檢查模組設定。
vtt_teleported_to,dialogs,Tooltip,,,Teleported to {0},,Nach {0} teleportiert,Teletransportado a {0},Téléporté vers {0},Teletrasportato a {0},{0}へ移動しました,{0}(으)로 이동했습니다,Teleportowano do {0},Teletransportado para {0},Перемещение к {0} выполнено,{0} konumuna ışınlandın,已传送至 {0},已傳送至 {0}
vtt_mode_line,dialogs,Dialog,,,Current mode: {0} - {1},,Aktueller Modus: {0} - {1},Modo actual: {0} - {1},Mode actuel : {0} - {1},Modalità attuale: {0} - {1},現在のモード: {0} - {1},현재 모드: {0} - {1},Bieżący tryb: {0} - {1},Modo atual: {0} - {1},Текущий режим: {0} - {1},Geçerli mod: {0} - {1},当前模式：{0} - {1},目前模式：{0} - {1}
vtt_mode_personal_name,dialogs,Dialog,,,Personal,,Persönlich,Personal,Personnel,Personale,個人,개인,Osobisty,Pessoal,Личный,Kişisel,个人,個人
vtt_mode_party_name,dialogs,Dialog,,,Party,,Gruppe,Grupo,Groupe,Gruppo,パーティー,파티,Drużyna,Equipe,Группа,Grup,队伍,隊伍
vtt_mode_shared_name,dialogs,Dialog,,,Shared,,Geteilt,Compartido,Partagé,Condiviso,共有,공유,Wspólny,Compartilhado,Общий,Ortak,共享,共享
vtt_mode_personal_description,dialogs,Dialog,,,only traders you have visited,,nur von dir besuchte Händler,solo los vendedores que has visitado,uniquement les marchands que vous avez visités,solo i negozianti che hai visitato,自分が訪問したトレーダーのみ,내가 방문한 상인만,tylko odwiedzeni przez ciebie handlarze,apenas comerciantes que você visitou,только посещённые вами торговцы,yalnızca ziyaret ettiğin tüccarlar,仅限你访问过的商人,僅限你造訪過的商人
vtt_mode_party_description,dialogs,Dialog,,,shared with current party members,,geteilt mit der aktuellen Gruppe,compartido con los miembros del grupo actual,partagé avec les membres du groupe actuel,condiviso con i membri del gruppo attuale,現在のパーティメンバーと共有,현재 파티원과 공유,wspólne z obecną drużyną,compartilhado com os membros do grupo atual,общий с текущей группой,mevcut takım üyeleriyle paylaşılır,与当前队伍成员共享,與目前隊伍成員共享
vtt_mode_shared_description,dialogs,Dialog,,,shared with everyone on this server,,geteilt mit allen auf diesem Server,compartido con todos en este servidor,partagé avec tout le monde sur ce serveur,condiviso con tutti su questo server,サーバー全員で共有,이 서버의 모든 사람과 공유,wspólne dla wszystkich na tym serwerze,compartilhado com todos neste servidor,общий для всех на этом сервере,bu sunucudaki herkesle paylaşılır,与本服务器所有人共享,與本伺服器所有人共享
vtt_no_destinations,dialogs,Dialog,,,No destinations are available in the current mode.,,Im aktuellen Modus sind keine Ziele verfügbar.,No hay destinos disponibles en el modo actual.,Aucune destination disponible dans le mode actuel.,Nessuna destinazione disponibile nella modalità attuale.,現在のモードで利用できる移動先がありません。,현재 모드에서 이용할 수 있는 목적지가 없습니다.,W bieżącym trybie nie ma dostępnych celów.,Nenhum destino disponível no modo atual.,В текущем режиме нет доступных пунктов назначения.,Geçerli modda kullanılabilir hedef yok.,当前模式下没有可用的目的地。,目前模式下沒有可用的目的地。
vtt_page_info,dialogs,Dialog,,,Page {0}/{1} - {2} destinations,,Seite {0}/{1} - {2} Ziele,Página {0}/{1} - {2} destinos,Page {0}/{1} - {2} destinations,Pagina {0}/{1} - {2} destinazioni,ページ {0}/{1} - {2}件,{0}/{1}페이지 - 목적지 {2}곳,Strona {0}/{1} - cele: {2},Página {0}/{1} - {2} destinos,Страница {0}/{1} - пунктов: {2},Sayfa {0}/{1} - {2} hedef,第 {0}/{1} 页 - 共 {2} 个目的地,第 {0}/{1} 頁 - 共 {2} 個目的地
vtt_cost_info,dialogs,Dialog,,,{1} x{0} / {2}m,,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{2}mごとに{1}×{0},{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m,{1} x{0} / {2}m
vtt_cost_info_minimum,dialogs,Dialog,,,{1} x{0} / {2}m (min {3}),,{1} x{0} / {2}m (min. {3}),{1} x{0} / {2}m (mín. {3}),{1} x{0} / {2}m (min. {3}),{1} x{0} / {2}m (min. {3}),{2}mごとに{1}×{0}（最低{3}）,{1} x{0} / {2}m (최소 {3}),{1} x{0} / {2}m (min. {3}),{1} x{0} / {2}m (mín. {3}),{1} x{0} / {2}m (мин. {3}),{1} x{0} / {2}m (en az {3}),{1} x{0} / {2}m（最低 {3}）,{1} x{0} / {2}m（最低 {3}）
vtt_status_response,dialogs,Dialog,,,[B0B0B0]-- {0} --[-],,[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-],[B0B0B0]-- {0} --[-]
vtt_status_response_with_cost,dialogs,Dialog,,,[B0B0B0]-- {0} | {1} --[-],,[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-],[B0B0B0]-- {0} | {1} --[-]
vtt_compact_status,dialogs,Dialog,,,Mode: {0},,Modus: {0},Modo: {0},Mode : {0},Modalità: {0},モード: {0},모드: {0},Tryb: {0},Modo: {0},Режим: {0},Mod: {0},模式：{0},模式：{0}
vtt_compact_status_paged,dialogs,Dialog,,,Mode: {0} | Page {1}/{2} ({3}),,Modus: {0} | Seite {1}/{2} ({3}),Modo: {0} | Pág. {1}/{2} ({3}),Mode : {0} | Page {1}/{2} ({3}),Modalità: {0} | Pag. {1}/{2} ({3}),モード: {0} | {1}/{2}ページ（{3}件）,모드: {0} | {1}/{2}페이지 ({3}),Tryb: {0} | Str. {1}/{2} ({3}),Modo: {0} | Pág. {1}/{2} ({3}),Режим: {0} | Стр. {1}/{2} ({3}),Mod: {0} | Sayfa {1}/{2} ({3}),模式：{0} | 第 {1}/{2} 页（{3}）,模式：{0} | 第 {1}/{2} 頁（{3}）
vtt_page_previous,dialogs,Dialog,,,< Previous page,,< Vorherige Seite,< Página anterior,< Page précédente,< Pagina precedente,< 前のページ,< 이전 페이지,< Poprzednia strona,< Página anterior,< Предыдущая страница,< Önceki sayfa,< 上一页,< 上一頁
vtt_page_next,dialogs,Dialog,,,Next page >,,Nächste Seite >,Página siguiente >,Page suivante >,Pagina successiva >,次のページ >,다음 페이지 >,Następna strona >,Próxima página >,Следующая страница >,Sonraki sayfa >,下一页 >,下一頁 >
vtt_destination_response,dialogs,Dialog,,,{0} - {1} {2} ({3}),,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1}{2}（{3}）,{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2} ({3}),{0} - {1} {2}（{3}）,{0} - {1}{2}（{3}）
vtt_transport_destination,dialogs,Tooltip,,,Trader {0} ({1}),,Händler {0} ({1}),"{0}, el vendedor ({1})",{0} le marchand ({1}),Negoziante {0} ({1}),トレーダー {0}の地（{1}）,상인 {0} ({1}),Handlarz {0} ({1}),Comerciante {0} ({1}),Торговец {0} ({1}),Tüccar {0} ({1}),商人{0}（{1}）,商人{0}（{1}）
vtt_coordinates,dialogs,Dialog,,,{0} {1} {2} {3},,{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0}{1}、{2}{3},"{0}{1}, {2}{3}",{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1} {2} {3},{0} {1}，{2} {3},{0}{1}，{2}{3}
vtt_coord_east,dialogs,Dialog,,,E,,O,E,E,E,東,동,Wsch.,E,В,D,E,東
vtt_coord_west,dialogs,Dialog,,,W,,W,O,O,O,西,서,Zach.,W,З,B,W,西
vtt_coord_north,dialogs,Dialog,,,N,,N,N,N,N,北,북,Płn.,N,С,K,N,北
vtt_coord_south,dialogs,Dialog,,,S,,S,S,S,S,南,남,Płd.,S,Ю,G,S,南
vtt_distance_m,dialogs,Dialog,,,{0} m,,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m,{0} m
vtt_distance_km,dialogs,Dialog,,,{0} km,,{0} km,{0} km,{0} km,{0} km,{0}km,{0}km,{0} km,{0} km,{0} км,{0} km,{0}km,{0}km
vtt_distance_unknown,dialogs,Dialog,,,distance unknown,,Entfernung unbekannt,distancia desconocida,distance inconnue,distanza sconosciuta,距離不明,거리 불명,nieznana odległość,distância desconhecida,расстояние неизвестно,mesafe bilinmiyor,距离未知,距離未知
vtt_direction_unknown,dialogs,Dialog,,,?,,?,?,?,?,不明,?,?,?,?,?,?,?
vtt_direction_here,dialogs,Dialog,,,here,,hier,aquí,ici,qui,現在地,현재 위치,tutaj,aqui,здесь,burada,当前位置,目前位置
vtt_direction_n,dialogs,Dialog,,,N,,N,N,N,N,北,북,Płn.,N,С,K,N,北
vtt_direction_ne,dialogs,Dialog,,,NE,,NO,NE,NE,NE,北東,북동,Płn. wsch.,NE,СВ,KD,NE,東北
vtt_direction_e,dialogs,Dialog,,,E,,O,E,E,E,東,동,Wsch.,E,В,D,E,東
vtt_direction_se,dialogs,Dialog,,,SE,,SO,SE,SE,SE,南東,남동,Płd. wsch.,SE,ЮВ,GD,SE,東南
vtt_direction_s,dialogs,Dialog,,,S,,S,S,S,S,南,남,Płd.,S,Ю,G,S,南
vtt_direction_sw,dialogs,Dialog,,,SW,,SW,SO,SO,SO,南西,남서,Płd. zach.,SW,ЮЗ,GB,SW,西南
vtt_direction_w,dialogs,Dialog,,,W,,W,O,O,O,西,서,Zach.,W,З,B,W,西
vtt_direction_nw,dialogs,Dialog,,,NW,,NW,NO,NO,NO,北西,북서,Płn. zach.,NW,СЗ,KB,NW,西北
vtt_trader_name_generic,dialogs,Dialog,,,Trader,,Händler,Vendedor,Marchand,Negoziante,トレーダー,상인,Handlarz,Comerciante,Торговец,Tüccar,商人,商人
vtt_trader_name_unknown,dialogs,Dialog,,,Trader {0},,Händler {0},"{0}, el vendedor",{0} le marchand,Negoziante {0},トレーダー {0},상인 {0},Handlarz {0},Comerciante {0},Торговец {0},Tüccar {0},商人{0},商人{0}
vtt_trader_name_rekt,dialogs,Dialog,,,Rekt,,Rekt,Rekt,Rekt,Rekt,レクト,렉트,Rekt,Rekt,Рект,Rekt,雷克特,瑞克特
vtt_trader_name_jen,dialogs,Dialog,,,Jen,,Jen,Jen,Jen,Jen,ジェン,젠,Jen,Jen,Джен,Jen,杰恩,詹
vtt_trader_name_bob,dialogs,Dialog,,,Bob,,Bob,Bob,Bob,Bob,ボブ,밥,Bob,Bob,Боб,Bob,鲍勃,鮑伯
vtt_trader_name_hugh,dialogs,Dialog,,,Hugh,,Hugh,Hugh,Hugh,Hugh,ヒュー,휴,Hugh,Hugh,Хью,Hugh,休,修
vtt_trader_name_joel,dialogs,Dialog,,,Joel,,Joel,Joel,Joel,Joel,ジョエル,조엘,Joel,Joel,Джоэл,Joel,约珥,祖爾
vtt_trader_name_gene,dialogs,Dialog,,,Gene,,Gene,Gene,Gene,Gene,ジーン,진,Gene,Gene,Джин,Gene,吉恩,吉恩
vtt_trader_name_johnny,dialogs,Dialog,,,Johnny,,Johnny,Johnny,Johnny,Johnny,ジョニー,조니,Johnny,Johnny,Джонни,Johnny,约翰尼,強尼
vtt_trader_name_radcat,dialogs,Dialog,,,Rad Cat,,Rad Cat,Rad Cat,Rad Cat,Rad Cat,ラッドキャット,래드 캣,Rad Cat,Rad Cat,Рэд Кэт,Rad Cat,拉德猫,拉德貓
vtt_statement_confirm,dialogs,Dialog,,,Confirm travel,,Reise bestätigen,Confirmar viaje,Confirmer le voyage,Conferma viaggio,移動の確認,이동 확인,Potwierdź podróż,Confirmar viagem,Подтвердить поездку,Yolculuğu onayla,确认旅行,確認旅行
vtt_confirm_prompt,dialogs,Dialog,,,Travel to {0}?,,Nach {0} reisen?,¿Viajar a {0}?,Voyager vers {0} ?,Viaggiare verso {0}?,{0}へ移動しますか？,{0}(으)로 이동할까요?,Podróżować do {0}?,Viajar para {0}?,Отправиться к {0}?,{0} konumuna gidilsin mi?,前往{0}？,前往{0}？
vtt_confirm_cost_line,dialogs,Dialog,,,Cost: {1} x{0},,Kosten: {1} x{0},Coste: {1} x{0},Coût : {1} x{0},Costo: {1} x{0},コスト: {1}×{0},비용: {1} x{0},Koszt: {1} x{0},Custo: {1} x{0},Стоимость: {1} x{0},Ücret: {1} x{0},费用：{1} x{0},費用：{1} x{0}
vtt_confirm_yes,dialogs,Dialog,,,Travel here,,Hierher reisen,Viajar aquí,Voyager ici,Viaggia qui,移動する,이동한다,Podróżuj tutaj,Viajar para cá,Отправиться,Buraya git,前往此处,前往此處
vtt_confirm_no,dialogs,Dialog,,,Go back,,Zurück,Volver,Retour,Indietro,戻る,돌아간다,Wróć,Voltar,Назад,Geri dön,返回,返回
vtt_destination_biome_suffix,dialogs,Dialog,,, {0},, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}
vtt_biome_forest,dialogs,Dialog,,,Forest,,Kiefernwald,Bosque de pino,Forêt de pins,Pineta,森,소나무 숲,Las sosnowy,Pinhal,Сосновый лес,Çam Ormanı,松树林,松樹林
vtt_biome_desert,dialogs,Dialog,,,Desert,,Wüste,Desierto,Désert,Deserto,砂漠,사막,Pustynia,Deserto,Пустыня,Çöl,沙漠,荒漠
vtt_biome_snow,dialogs,Dialog,,,Snow,,Schnee,Nieve,Neige,Neve,雪原,눈,Śnieg,Neve,Снег,Kar,雪,雪
vtt_biome_wasteland,dialogs,Dialog,,,Wasteland,,Ödland,Terreno baldío,Terres désolées,Landa,荒野,황무지,Pustkowie,Ermo,Пустошь,Çorak Arazi,荒野,荒原
vtt_biome_burnt_forest,dialogs,Dialog,,,Burnt Forest,,Verbrannter Wald,Bosque quemado,Forêt brûlée,Foresta bruciata,燃える森,불타버린 숲,Spalony las,Floresta queimada,Сгоревший лес,Yanmış Orman,焚毁的森林,燒毀的森林
vtt_biome_water,dialogs,Dialog,,,Underwater,,Unter Wasser,Bajo el agua,Sous l'eau,Sott'acqua,水中,수중,Pod wodą,Submerso,Под водой,Su altı,水下,水下
vtt_statement_forget,dialogs,Dialog,,,Forget destination,,Ziel vergessen,Olvidar destino,Oublier la destination,Dimentica destinazione,行き先を忘れる,목적지 잊기,Zapomnij cel,Esquecer destino,Забыть пункт назначения,Hedefi unut,忘记目的地,忘記目的地
vtt_forget,dialogs,Dialog,,,Forget this destination,,Dieses Ziel vergessen,Olvidar este destino,Oublier cette destination,Dimentica questa destinazione,この行き先を忘れる,이 목적지 잊기,Zapomnij ten cel,Esquecer este destino,Забыть этот пункт назначения,Bu hedefi unut,忘记这个目的地,忘記這個目的地
vtt_forget_prompt,dialogs,Dialog,,,Forget {0}?,,{0} vergessen?,¿Olvidar {0}?,Oublier {0} ?,Dimenticare {0}?,{0}を忘れますか？,{0}(을)를 잊을까요?,Zapomnieć {0}?,Esquecer {0}?,Забыть {0}?,{0} unutulsun mu?,忘记{0}？,忘記{0}？
vtt_forget_yes,dialogs,Dialog,,,Forget it,,Vergessen,Olvidar,Oublier,Dimentica,忘れる,잊는다,Zapomnij,Esquecer,Забыть,Unut,忘记,忘記
vtt_forget_no,dialogs,Dialog,,,Keep it,,Behalten,Conservar,Conserver,Mantieni,やめる,유지한다,Zachowaj,Manter,Оставить,Kalsın,保留,保留
vtt_forget_done,dialogs,Tooltip,,,Destination forgotten.,,Ziel vergessen.,Destino olvidado.,Destination oubliée.,Destinazione dimenticata.,行き先を忘れました。,목적지를 잊었습니다.,Cel zapomniany.,Destino esquecido.,Пункт назначения забыт.,Hedef unutuldu.,已忘记目的地。,已忘記目的地。
vtt_forget_still_listed,dialogs,Tooltip,,,"Your visit was removed, but this trader is still on the list from another record.",,"Dein Besuch wurde entfernt, aber dieser Händler steht durch einen anderen Eintrag weiterhin auf der Liste.","Se eliminó tu visita, pero este comerciante sigue en la lista por otro registro.","Votre visite a été supprimée, mais ce marchand reste dans la liste via un autre enregistrement.","La tua visita è stata rimossa, ma questo commerciante resta nell’elenco per un altro record.",あなたの訪問記録は削除しましたが、別の記録によりこのトレーダーは一覧に残ります。,"당신의 방문 기록은 삭제했지만, 다른 기록으로 인해 이 상인은 목록에 남습니다.","Twoja wizyta została usunięta, ale ten handlarz pozostaje na liście z powodu innego wpisu.","Sua visita foi removida, mas este comerciante continua na lista por outro registro.","Ваше посещение удалено, но этот торговец остаётся в списке из-за другой записи.","Ziyaretin kaldırıldı, ancak başka bir kayıt nedeniyle bu tüccar listede kalıyor.",已删除你的访问记录，但由于另一条记录，这个商人仍留在列表中。,已刪除你的造訪記錄，但由於另一筆記錄，這個商人仍留在列表中。
vtt_forget_not_yours,dialogs,Tooltip,,,There is nothing of yours to remove here - this trader is on your list from another record.,,Hier gibt es nichts von dir zu entfernen - dieser Händler steht durch einen anderen Eintrag auf deiner Liste.,Aquí no hay nada tuyo que eliminar: este comerciante está en tu lista por otro registro.,Il n’y a rien de vous à supprimer ici : ce marchand figure dans votre liste via un autre enregistrement.,Qui non c’è nulla di tuo da rimuovere: questo commerciante è nel tuo elenco per un altro record.,ここに削除できるあなたの記録はありません。このトレーダーは別の記録により一覧に出ています。,여기에는 삭제할 당신의 기록이 없습니다. 이 상인은 다른 기록으로 목록에 표시됩니다.,Nie ma tu nic twojego do usunięcia - ten handlarz jest na twojej liście z powodu innego wpisu.,Não há nada seu para remover aqui - este comerciante está na sua lista por outro registro.,Здесь нечего удалять - этот торговец в вашем списке из-за другой записи.,Burada senin kaldıracağın bir şey yok - bu tüccar başka bir kayıt nedeniyle listende.,这里没有属于你的记录可删除：这个商人是因另一条记录出现在列表中的。,這裡沒有屬於你的記錄可刪除：這個商人是因另一筆記錄出現在列表中的。
